Country,Count
Zimbabwe,35.00
Zambia,29.00
Yemen,57.00
World,599.00
Western Sahara,14.00
Vietnam,320.00
Venezuela,224.00
Vanuatu,20.00
Uzbekistan,54.00
US Virgin Islands,30.00
Uruguay,27.00
United States of America,6804.00
United Kingdom,2389.00
United Arab Emirates,26.00
Ukraine,180.00
Uganda,22.00
Tuvalu,1.00
Turks and Caicos Islands,13.00
Turkmenistan,22.00
Turkey,150.00
Tunisia,26.00
Trinidad and Tobago,11.00
Tonga,2.00
Togo,3.00
Timor Leste,5.00
Thailand,133.00
Tanzania,81.00
Tajikistan,22.00
Taiwan,78.00
Syria,21.00
Switzerland,120.00
Sweden,150.00
Swaziland,2.00
Suriname,19.00
Sudan,104.00
Sri Lanka,26.00
Spain,324.00
South Sudan,81.00
South Korea,123.00
South Africa,153.00
Somalia,35.00
Solomon Islands,34.00
Slovenia,4.00
Slovakia,21.00
Singapore,24.00
Sierra Leone,7.00
Seychelles,3.00
Serbia,18.00
Senegal,26.00
Saudi Arabia,44.00
São Tomé and Principe,6.00
Samoa Islands (Western Samoa),10.00
Salvador,17.00
Saint-Barthélemy,5.00
Saint Vincent and Grenadines,5.00
Saint Pierre and Miquelon,2.00
Saint Lucia,4.00
Saint Kitts and Nevis,2.00
Rwanda,6.00
Russia,1505.00
Romania,73.00
Qatar,1.00
Puerto Rico,92.00
Portugal,91.00
Poland,110.00
Philippines,217.00
Peru,176.00
Paraguay,32.00
Papua New Guinea,281.00
Panama,72.00
Palestine,8.00
Palau,5.00
Pakistan,106.00
Oman,21.00
Norway,182.00
Northern Mariana Islands,6.00
North Korea,104.00
Nigeria,120.00
Niger,13.00
Nicaragua,59.00
New Zealand,278.00
New Caledonia,7.00
Netherlands,245.00
Nepal,66.00
Namibia,13.00
NA,1.00
Myanmar,160.00
Mozambique,55.00
Morocco,82.00
Montserrat,2.00
Montenegro,6.00
Mongolia,17.00
Monaco,2.00
Moldova,8.00
Mexico,445.00
Mayotte,1.00
Mauritius,1.00
Mauritania,17.00
Martinique,4.00
Marshall Islands,10.00
Malta,35.00
Mali,19.00
Maldivian Islands,9.00
Malaysia,93.00
Malawi,9.00
Madagascar,24.00
Macedonia,11.00
Luxembourg,5.00
Lithuania,13.00
Libya,80.00
Liberia,25.00
Lesotho,7.00
Lebanon,21.00
Latvia,13.00
Laos,112.00
La Reunion,1.00
Kyrgyzstan,26.00
Kuwait,8.00
Kosovo,1.00
Kiribati,4.00
Kenya,116.00
Kazakhstan,127.00
Jordan,13.00
Japan,273.00
Jamaica,23.00
Ivory Coast,17.00
Italy,367.00
Israel,38.00
Ireland,65.00
Iraq,54.00
Iran,127.00
Indonesia,426.00
India,432.00
Iceland,50.00
Hungary,35.00
Honduras,61.00
Haiti,30.00
Guyana,26.00
Guinea Bissau,2.00
Guinea,9.00
Guatemala,77.00
Guam Island,25.00
Guadeloupe,6.00
Greenland,45.00
Greece,98.00
Ghana,17.00
Germany,629.00
Georgia,36.00
Gambia,8.00
Gabon,24.00
French Polynesia,11.00
French Guyana,4.00
France,848.00
Finland,43.00
Fiji Islands,20.00
Federated States of Micronesia,6.00
Faroe Islands,5.00
Falkland Islands,5.00
Ethiopia,55.00
Estonia,15.00
Eritrea,17.00
Equatorial Guinea,5.00
Egypt,155.00
Ecuador,107.00
Dutch Antilles,19.00
Dominican Republic,45.00
Dominica,5.00
Djibouti,9.00
Denmark,81.00
Democratic Republic of Congo,217.00
Czech Republic,79.00
Cyprus,12.00
Cuba,54.00
Croatia,25.00
Costa Rica,49.00
Cook Islands,1.00
Congo,22.00
Comoros Islands,9.00
Colombia,533.00
China,314.00
Chile,121.00
Chagos Archipelago,1.00
Chad,19.00
Central African Republic,11.00
Cayman Islands,2.00
Canada,1374.00
Cameroon,38.00
Cambodia,37.00
Cabo Verde,5.00
Burkina Faso,4.00
Bulgaria,38.00
British Virgin Islands,8.00
Brazil,766.00
Botswana,13.00
Bosnia and Herzegovina,11.00
Bolivia,238.00
Bhutan,4.00
Bermuda,13.00
Benin,8.00
Belize,22.00
Belgium,146.00
Belarus,35.00
Barbados,4.00
Bangladesh,39.00
Bahrain,9.00
Bahamas,142.00
Azerbaijan,29.00
Austria,63.00
Australia,617.00
Ascension Island,1.00
Armenia,30.00
Argentina,302.00
Antigua,1.00
Antarctica,57.00
Anguilla,1.00
Angola,123.00
American Samoa,3.00
Algeria,88.00
Albania,2.00
Afghanistan,102.00
