Country,Count
Zimbabwe,35
Zambia,29
Yemen,57
World,599
Western Sahara,14
Vietnam,320
Venezuela,224
Vanuatu,20
Uzbekistan,54
US Virgin Islands,30
Uruguay,27
United States of America,"6,804"
United Kingdom,"2,389"
United Arab Emirates,26
Ukraine,180
Uganda,22
Tuvalu,1
Turks and Caicos Islands,13
Turkmenistan,22
Turkey,150
Tunisia,26
Trinidad and Tobago,11
Tonga,2
Togo,3
Timor Leste,5
Thailand,133
Tanzania,81
Tajikistan,22
Taiwan,78
Syria,21
Switzerland,120
Sweden,150
Swaziland,2
Suriname,19
Sudan,104
Sri Lanka,26
Spain,324
South Sudan,81
South Korea,123
South Africa,153
Somalia,35
Solomon Islands,34
Slovenia,4
Slovakia,21
Singapore,24
Sierra Leone,7
Seychelles,3
Serbia,18
Senegal,26
Saudi Arabia,44
São Tomé and Principe,6
Samoa Islands (Western Samoa),10
Salvador,17
Saint-Barthélemy,5
Saint Vincent and Grenadines,5
Saint Pierre and Miquelon,2
Saint Lucia,4
Saint Kitts and Nevis,2
Rwanda,6
Russia,"1,505"
Romania,73
Qatar,1
Puerto Rico,92
Portugal,91
Poland,110
Philippines,217
Peru,176
Paraguay,32
Papua New Guinea,281
Panama,72
Palestine,8
Palau,5
Pakistan,106
Oman,21
Norway,182
Northern Mariana Islands,6
North Korea,104
Nigeria,120
Niger,13
Nicaragua,59
New Zealand,278
New Caledonia,7
Netherlands,245
Nepal,66
Namibia,13
NA,1
Myanmar,160
Mozambique,55
Morocco,82
Montserrat,2
Montenegro,6
Mongolia,17
Monaco,2
Moldova,8
Mexico,445
Mayotte,1
Mauritius,1
Mauritania,17
Martinique,4
Marshall Islands,10
Malta,35
Mali,19
Maldivian Islands,9
Malaysia,93
Malawi,9
Madagascar,24
Macedonia,11
Luxembourg,5
Lithuania,13
Libya,80
Liberia,25
Lesotho,7
Lebanon,21
Latvia,13
Laos,112
La Reunion,1
Kyrgyzstan,26
Kuwait,8
Kosovo,1
Kiribati,4
Kenya,116
Kazakhstan,127
Jordan,13
Japan,273
Jamaica,23
Ivory Coast,17
Italy,367
Israel,38
Ireland,65
Iraq,54
Iran,127
Indonesia,426
India,432
Iceland,50
Hungary,35
Honduras,61
Haiti,30
Guyana,26
Guinea Bissau,2
Guinea,9
Guatemala,77
Guam Island,25
Guadeloupe,6
Greenland,45
Greece,98
Ghana,17
Germany,629
Georgia,36
Gambia,8
Gabon,24
French Polynesia,11
French Guyana,4
France,848
Finland,43
Fiji Islands,20
Federated States of Micronesia,6
Faroe Islands,5
Falkland Islands,5
Ethiopia,55
Estonia,15
Eritrea,17
Equatorial Guinea,5
Egypt,155
Ecuador,107
Dutch Antilles,19
Dominican Republic,45
Dominica,5
Djibouti,9
Denmark,81
Democratic Republic of Congo,217
Czech Republic,79
Cyprus,12
Cuba,54
Croatia,25
Costa Rica,49
Cook Islands,1
Congo,22
Comoros Islands,9
Colombia,533
China,314
Chile,121
Chagos Archipelago,1
Chad,19
Central African Republic,11
Cayman Islands,2
Canada,"1,374"
Cameroon,38
Cambodia,37
Cabo Verde,5
Burkina Faso,4
Bulgaria,38
British Virgin Islands,8
Brazil,766
Botswana,13
Bosnia and Herzegovina,11
Bolivia,238
Bhutan,4
Bermuda,13
Benin,8
Belize,22
Belgium,146
Belarus,35
Barbados,4
Bangladesh,39
Bahrain,9
Bahamas,142
Azerbaijan,29
Austria,63
Australia,617
Ascension Island,1
Armenia,30
Argentina,302
Antigua,1
Antarctica,57
Anguilla,1
Angola,123
American Samoa,3
Algeria,88
Albania,2
Afghanistan,102
